number,value,datetime_start,datetime_complete,duration,params_balance_strategy,params_batch_size,params_classifier_dropout,params_classifier_hidden,params_classifier_layers,params_cnn_base_channels,params_cnn_layers,params_discriminator_hidden,params_discriminator_layers,params_domain_loss_weight,params_domain_weight_schedule,params_focal_gamma,params_gamma_grl,params_learning_rate,params_lr_scheduler,params_lstm_bidirectional,params_lstm_dropout,params_lstm_hidden,params_lstm_layers,params_warmup_epochs,params_weight_decay,state
18,0.1467519894385566,2026-01-07 19:30:30.642155,2026-01-07 19:31:33.949465,0 days 00:01:03.307310,focal_only,16,0.503169786738455,32,2,96,3,96,2,0.3518217803681865,exponential,3.139502250512226,2.8757347318244544,0.0003831213961060596,onecycle,True,0.2341957682464934,96,1,29,0.00018394654116225047,PRUNED
19,0.5311787010891489,2026-01-07 19:31:33.950087,2026-01-07 19:34:01.413293,0 days 00:02:27.463206,class_weights,32,0.5810841124549151,96,3,32,2,64,2,0.4382881268218364,linear,2.2699419505855376,2.1601636337688337,0.00017715909317841418,cosine,True,0.15848465702941983,192,2,33,2.732352293786234e-06,COMPLETE
20,0.5480332978840442,2026-01-07 19:34:01.414047,2026-01-07 19:42:22.684844,0 days 00:08:21.270797,focal_only,16,0.3718605884196655,96,3,32,1,96,3,0.3161988226183578,exponential,1.820741639586184,1.562753959837472,0.0008775538573047979,step,True,0.30030472701744,256,2,38,1.6040416590430405e-05,COMPLETE
21,0.5799605412739741,2026-01-07 19:42:22.685644,2026-01-07 19:50:15.494536,0 days 00:07:52.808892,focal_only,16,0.3818298607499083,96,3,32,1,96,3,0.32972981389629824,exponential,1.8131000798004977,1.563869997478772,0.0009225209247707147,step,True,0.28499933874721955,256,2,38,2.013041602255548e-05,COMPLETE
22,0.5184895669074774,2026-01-07 19:50:15.498110,2026-01-07 19:58:38.214268,0 days 00:08:22.716158,focal_only,16,0.44002414783004057,96,3,32,1,96,3,0.38592265487067035,exponential,1.705986913947284,1.0097618083639914,0.0006646909393266677,step,True,0.24314998933230586,256,2,34,5.4235803044948056e-05,COMPLETE
23,0.30792680332978833,2026-01-07 19:58:38.215293,2026-01-07 20:04:29.585150,0 days 00:05:51.369857,focal_only,16,0.30377022518230185,96,3,32,1,96,3,0.44693502396092155,exponential,1.939821289293477,1.4697462106945387,0.0019494552597835774,step,True,0.3531113707136483,256,3,38,2.2114868873528022e-05,PRUNED
24,0.5307607906413877,2026-01-07 20:04:29.585797,2026-01-07 20:07:45.714351,0 days 00:03:16.128554,focal_only,16,0.40929790403273925,96,3,32,2,96,3,0.4670826556616628,exponential,1.7249294713612662,1.6970123066464853,0.00035618912137814037,step,True,0.16020201217572924,128,1,38,6.202763027579336e-06,COMPLETE
25,0.5054058454655469,2026-01-07 20:07:45.715115,2026-01-07 20:12:25.188966,0 days 00:04:39.473851,weighted_sampling,16,0.34303050788359,32,3,96,3,96,2,0.36224618604024666,constant,2.1876132081548008,2.2299006928614133,0.001237140913800418,step,True,0.10192115622505665,256,2,40,0.00020568460057175206,COMPLETE
26,0.5859767501558546,2026-01-07 20:12:25.192328,2026-01-07 20:16:40.070838,0 days 00:04:14.878510,focal_only,16,0.25387017750030816,64,2,48,2,96,3,0.2655258970732205,exponential,2.5839669114581376,3.8654916008687414,0.00041713128614116323,cosine,True,0.44122183437487605,96,3,28,4.686955533907795e-06,COMPLETE
27,0.5370158054934174,2026-01-07 20:16:40.073689,2026-01-07 20:20:48.613315,0 days 00:04:08.539626,focal_only,16,0.24568379447832261,64,2,48,2,96,2,0.24852332859071913,exponential,2.67366908846658,3.9692975208131784,0.000669235924386909,cosine,True,0.4509169308665927,96,3,28,1.6489900225200713e-06,COMPLETE
