number,value,datetime_start,datetime_complete,duration,params_balance_strategy,params_batch_size,params_classifier_dropout,params_classifier_hidden,params_classifier_layers,params_cnn_base_channels,params_cnn_layers,params_discriminator_hidden,params_discriminator_layers,params_domain_loss_weight,params_domain_weight_schedule,params_focal_gamma,params_gamma_grl,params_learning_rate,params_lr_scheduler,params_lstm_bidirectional,params_lstm_dropout,params_lstm_hidden,params_lstm_layers,params_use_attention,params_use_residual,params_warmup_epochs,params_weight_decay,state
17,-0.5811965811965811,2026-01-07 13:12:44.072682,2026-01-07 13:13:12.760918,0 days 00:00:28.688236,weighted_sampling,32,0.48196845733361904,32,3,32,3,96,3,0.228775656387698,exponential,2.3283610269558848,7.405123763553929,9.990649821884254e-05,cosine,False,0.4323550949645785,192,2,True,False,7,7.999378670250318e-05,COMPLETE
18,-0.5128205128205128,2026-01-07 13:13:12.761654,2026-01-07 13:13:23.387706,0 days 00:00:10.626052,weighted_sampling,64,0.534389462157711,128,3,48,3,64,1,0.29747769310281535,linear,1.9399454361056456,3.490029352173383,5.046180644160074e-05,step,False,0.2566894776424911,256,1,False,False,11,2.4951708095982123e-05,COMPLETE
19,-0.4786324786324786,2026-01-07 13:13:23.392495,2026-01-07 13:13:49.947644,0 days 00:00:26.555149,weighted_sampling,64,0.5897328389109254,128,3,48,2,64,2,0.36489881262900636,linear,2.8286195053952783,5.6930023783495685,5.982167384929745e-05,step,False,0.23365166462004652,256,1,True,False,11,4.437081598942759e-06,COMPLETE
20,-0.5641025641025641,2026-01-07 13:13:49.948565,2026-01-07 13:14:02.503433,0 days 00:00:12.554868,weighted_sampling,64,0.5921128431591087,128,3,48,1,64,2,0.34664332544093795,linear,2.890200333347758,5.856344748206018,8.506956758396188e-05,step,False,0.21554449368307171,256,1,True,False,12,3.6076993688661954e-06,COMPLETE
21,-0.5555555555555556,2026-01-07 13:14:02.505016,2026-01-07 13:14:15.930346,0 days 00:00:13.425330,weighted_sampling,64,0.5496511606747942,128,3,48,2,64,2,0.32881814686746036,linear,2.7199346849326314,6.36306600682544,5.2607393292121756e-05,step,False,0.2595588524106753,256,1,True,False,11,1.0589535257022278e-06,COMPLETE
22,-0.5555555555555556,2026-01-07 13:14:15.931079,2026-01-07 13:14:28.650865,0 days 00:00:12.719786,weighted_sampling,64,0.5932247930137831,128,3,48,2,64,2,0.31041078691528395,linear,3.2095530752759087,5.449585703604854,6.721368143193389e-05,step,False,0.3114810710358346,256,1,True,False,11,2.6533702902248432e-05,COMPLETE
23,-0.5641025641025641,2026-01-07 13:14:28.651556,2026-01-07 13:14:42.077421,0 days 00:00:13.425865,weighted_sampling,64,0.5208500932891161,128,3,48,2,64,3,0.4044259370019536,linear,2.3156252704670894,4.329471459572312,5.4341528964662565e-05,step,False,0.21516217222017006,256,1,True,False,10,6.124535418800604e-06,COMPLETE
24,-0.5213675213675213,2026-01-07 13:14:42.078086,2026-01-07 13:14:56.648606,0 days 00:00:14.570520,weighted_sampling,64,0.5541536136083636,128,3,48,3,64,1,0.3747394855344989,linear,2.5003993589433975,6.894270564243927,0.00010899026489487281,step,False,0.28446077985247187,256,1,True,False,11,1.3187711483633381e-05,COMPLETE
25,-0.4700854700854701,2026-01-07 13:14:56.649327,2026-01-07 13:15:23.137536,0 days 00:00:26.488209,weighted_sampling,64,0.5013369702412376,128,3,48,2,64,2,0.29773291079782005,linear,2.827101972252384,5.073421397146107,0.0008068398359534764,step,False,0.24650402555234702,256,1,True,False,10,1.8295209085063405e-06,COMPLETE
26,-0.8034188034188035,2026-01-07 13:15:23.138555,2026-01-07 13:15:29.877416,0 days 00:00:06.738861,weighted_sampling,64,0.5007997759823491,64,3,48,1,64,2,0.3844197018717666,linear,2.8077206414846705,5.066943519807767,0.0007309890613802417,step,False,0.32677335136743124,64,1,True,False,10,1.7727211317266294e-06,PRUNED
27,-0.7777777777777778,2026-01-07 13:15:29.878172,2026-01-07 13:16:07.951229,0 days 00:00:38.073057,weighted_sampling,16,0.4275993009838449,128,3,48,2,32,2,0.24052344788359065,constant,3.1098676352866903,5.839219425978639,0.0013273448517538919,step,False,0.18770228276511636,256,1,True,False,9,3.7840016304128742e-06,PRUNED
28,-0.6068376068376069,2026-01-07 13:16:07.951989,2026-01-07 13:16:28.526342,0 days 00:00:20.574353,weighted_sampling,64,0.39416820994085716,128,3,48,2,64,2,0.4453453057973585,linear,3.2741060403652518,5.301611583682466,0.000603275492416543,onecycle,False,0.23219880950925695,128,2,True,False,12,1.046078987723263e-06,COMPLETE
29,-0.9316239316239316,2026-01-07 13:16:28.527253,2026-01-07 13:17:02.356427,0 days 00:00:33.829174,weighted_sampling,16,0.3777962996306567,64,3,32,2,64,2,0.3178185525821824,linear,2.986199200529076,7.912972664749484,0.0002588220260877064,cosine,False,0.15143920861834664,96,1,True,True,10,1.6631448270058813e-06,PRUNED
30,-0.4444444444444444,2026-01-07 13:17:02.357341,2026-01-07 13:18:02.664722,0 days 00:01:00.307381,weighted_sampling,64,0.46399279825844864,96,3,64,1,32,2,0.11233540617572943,constant,2.7238717084241877,6.194881276050486,0.0010578709842554166,cosine,False,0.24105388043640785,256,3,True,False,8,3.401907712315074e-06,COMPLETE
31,-0.6239316239316239,2026-01-07 13:18:02.665874,2026-01-07 13:18:41.507339,0 days 00:00:38.841465,weighted_sampling,64,0.4562905642680726,96,3,64,1,32,2,0.10390003344074103,constant,2.7068006288577986,6.153383706154737,0.0011193334136190885,cosine,False,0.2408241607208224,256,3,True,False,8,3.8833741924699656e-06,COMPLETE
32,-0.5470085470085471,2026-01-07 13:18:41.508011,2026-01-07 13:19:05.745432,0 days 00:00:24.237421,weighted_sampling,64,0.4892329054470132,96,3,64,1,32,2,0.1604944802295664,constant,2.612199639779403,7.305091957916679,0.0019400055624801253,cosine,False,0.1906717493310493,256,3,True,False,6,2.7951258389394316e-06,COMPLETE
