number,value,datetime_start,datetime_complete,duration,params_balance_strategy,params_batch_size,params_classifier_dropout,params_classifier_hidden,params_classifier_layers,params_cnn_base_channels,params_cnn_layers,params_discriminator_hidden,params_discriminator_layers,params_domain_loss_weight,params_domain_weight_schedule,params_focal_gamma,params_gamma_grl,params_learning_rate,params_lr_scheduler,params_lstm_bidirectional,params_lstm_dropout,params_lstm_hidden,params_lstm_layers,params_use_attention,params_use_residual,params_warmup_epochs,params_weight_decay,state
73,-0.4700854700854701,2026-01-07 13:39:18.892473,2026-01-07 13:39:42.380054,0 days 00:00:23.487581,class_weights,64,0.4641374601271882,32,3,48,3,64,1,0.31944712693433325,linear,3.3857979963708504,6.451100157027266,0.00041621311047726993,step,True,0.285543631400693,256,2,True,False,10,7.1566839057132e-05,COMPLETE
74,-0.46153846153846156,2026-01-07 13:39:42.380769,2026-01-07 13:40:07.785827,0 days 00:00:25.405058,class_weights,64,0.3975917408329479,32,3,48,3,64,1,0.37287118082061677,linear,3.1590927634520205,7.582870304576374,0.000553807103748864,step,True,0.22974487611495875,256,2,True,False,10,0.0001038492558595622,COMPLETE
75,-0.7094017094017093,2026-01-07 13:40:07.787635,2026-01-07 13:40:36.598902,0 days 00:00:28.811267,class_weights,16,0.37562710912053465,64,3,32,4,96,1,0.46151231303529305,exponential,3.124044961407126,7.938149263724019,0.0005479252723054514,step,True,0.25435441348169757,64,2,False,False,10,0.00014535109458884733,PRUNED
76,-0.5470085470085471,2026-01-07 13:40:36.599561,2026-01-07 13:40:51.610147,0 days 00:00:15.010586,class_weights,64,0.39862330679714786,32,3,48,3,64,1,0.331312265848106,linear,2.8386583120549336,7.4962421164750666,0.0012051728335688969,step,True,0.2050525745195898,256,2,True,False,9,0.00020171274767924577,COMPLETE
77,-0.6153846153846154,2026-01-07 13:40:51.610822,2026-01-07 13:41:29.054371,0 days 00:00:37.443549,class_weights,32,0.42324247807499893,32,3,48,3,64,3,0.37447004168236975,exponential,2.936225500552617,7.705548998464596,0.0008758420343576154,step,True,0.2683767740718731,256,2,True,False,10,0.0001002795947366395,COMPLETE
78,-0.8547008547008547,2026-01-07 13:41:29.057971,2026-01-07 13:41:44.072539,0 days 00:00:15.014568,class_weights,64,0.36301503984322797,64,3,48,2,64,1,0.2428406926373506,linear,3.033277302341733,7.296572894319041,0.000359795734284578,onecycle,True,0.22218944141673333,256,2,True,True,10,1.992465567118313e-05,PRUNED
79,-0.41025641025641024,2026-01-07 13:41:44.073192,2026-01-07 13:42:18.820611,0 days 00:00:34.747419,class_weights,64,0.3399345853071898,32,3,48,3,96,1,0.39911702370009117,exponential,3.1940932046867845,4.622758136912141,0.0002616197267545968,warmup_cosine,True,0.3306637107405273,256,2,True,False,9,0.00013773394591608016,COMPLETE
80,-0.5384615384615384,2026-01-07 13:42:18.821280,2026-01-07 13:42:49.445199,0 days 00:00:30.623919,class_weights,64,0.28098598204265623,32,3,96,3,96,1,0.4042749799589413,exponential,3.193930972158781,4.50104430724901,0.0002661578074030544,warmup_cosine,True,0.33681949320304694,256,2,False,False,9,0.0001996490077937518,COMPLETE
81,-0.5470085470085471,2026-01-07 13:42:49.450672,2026-01-07 13:43:06.181857,0 days 00:00:16.731185,class_weights,64,0.34325560485423745,32,3,48,3,96,1,0.3959417271221586,exponential,3.0783213056576013,4.027367092472769,0.0003090353351124395,warmup_cosine,True,0.24048956602113808,256,2,True,False,9,0.00036681838065700915,COMPLETE
82,-0.4871794871794872,2026-01-07 13:43:06.182576,2026-01-07 13:43:27.527899,0 days 00:00:21.345323,class_weights,64,0.2236460388269567,32,3,48,3,96,1,0.4163229141080892,exponential,3.2656204446925132,4.653963910444259,0.00020873154010577668,warmup_cosine,True,0.32005741917606145,256,2,True,False,10,0.00012547761830649818,COMPLETE
83,-0.5128205128205128,2026-01-07 13:43:27.528614,2026-01-07 13:43:51.544850,0 days 00:00:24.016236,class_weights,64,0.33169764358782283,32,3,48,3,96,1,0.4448390905223799,exponential,3.1782604933507916,7.613785510978191,0.0006509419310892884,warmup_cosine,True,0.2789737238173384,256,2,True,False,10,4.614634785604542e-05,COMPLETE
84,-0.4444444444444444,2026-01-07 13:43:51.545576,2026-01-07 13:44:35.812916,0 days 00:00:44.267340,class_weights,64,0.4105949754972105,32,3,48,2,64,1,0.4324210139542984,exponential,2.8936851371304564,5.105198377077065,0.0005612419436644196,step,True,0.3718203273784947,256,2,True,False,9,9.573673504334975e-05,COMPLETE
85,-0.49572649572649574,2026-01-07 13:44:35.813724,2026-01-07 13:45:02.289799,0 days 00:00:26.476075,class_weights,64,0.3876673946296607,32,3,48,3,96,1,0.4607417336385086,exponential,2.891088341653906,4.891956163396425,0.0004931520591511905,warmup_cosine,True,0.3832268790547429,256,2,True,False,9,9.303036976928184e-05,COMPLETE
86,-0.5384615384615384,2026-01-07 13:45:02.290797,2026-01-07 13:45:25.110527,0 days 00:00:22.819730,class_weights,32,0.29283439825481355,32,3,48,4,64,1,0.4336594718789736,exponential,3.0118852761915225,7.835693542453178,0.00016637468450719203,step,True,0.3617616675551849,128,2,True,False,8,0.00015444384325475559,COMPLETE
87,-0.5470085470085471,2026-01-07 13:45:25.111220,2026-01-07 13:46:00.555692,0 days 00:00:35.444472,class_weights,64,0.36796282742214426,32,3,32,2,64,1,0.37741205221503393,exponential,3.097724648066825,6.210015150280881,0.0005579235573016553,step,True,0.3388738806987378,192,2,True,False,9,7.721319099299198e-05,COMPLETE
88,-0.5470085470085471,2026-01-07 13:46:00.556393,2026-01-07 13:46:15.322387,0 days 00:00:14.765994,class_weights,64,0.4032565167116599,64,3,48,3,96,1,0.406489974469202,exponential,2.2597529933505904,7.2008848719062115,0.0002575137450797175,onecycle,True,0.3722966674605966,256,2,True,False,9,6.801881242233188e-05,COMPLETE
89,-0.4444444444444444,2026-01-07 13:46:15.323045,2026-01-07 13:47:32.878420,0 days 00:01:17.555375,class_weights,16,0.41073290694816844,32,3,48,2,64,1,0.3668193815668207,exponential,2.693305168621462,7.002587715506614,0.0003863841403953929,warmup_cosine,True,0.417397113959018,256,2,True,False,8,0.00010768123224524723,COMPLETE
90,-0.6068376068376069,2026-01-07 13:47:32.879554,2026-01-07 13:48:14.007974,0 days 00:00:41.128420,class_weights,16,0.4331531775351577,32,3,48,2,64,1,0.34252219061129396,exponential,2.7066015264566294,6.7854512571132055,0.000383192798293248,warmup_cosine,True,0.4050186213578625,64,2,True,True,8,0.00012398174678390116,COMPLETE
91,-0.5384615384615384,2026-01-07 13:48:14.008871,2026-01-07 13:49:23.500888,0 days 00:01:09.492017,class_weights,16,0.41435261121846606,32,3,48,2,64,1,0.39911612384007683,exponential,2.7747450657325032,7.0019260758782425,0.0003470039450646942,warmup_cosine,True,0.42446369040063836,256,2,True,False,8,0.00010571377422907368,COMPLETE
92,-0.4786324786324786,2026-01-07 13:49:23.501635,2026-01-07 13:51:08.006626,0 days 00:01:44.504991,class_weights,16,0.4580246101134956,32,3,48,2,64,1,0.3689699179960301,exponential,3.249133585448838,5.176481218442537,0.0002974077677120244,warmup_cosine,True,0.40154931064618077,256,2,True,False,8,0.00017884298203502867,COMPLETE
93,-0.5555555555555556,2026-01-07 13:51:08.007438,2026-01-07 13:52:25.022776,0 days 00:01:17.015338,class_weights,16,0.3867739632175638,32,3,48,2,64,1,0.38496833670354363,exponential,2.671442941523466,6.528149476935376,0.00046015730918977344,warmup_cosine,True,0.4862445524372674,256,2,True,False,9,0.00014911167290802564,COMPLETE
94,-0.5897435897435898,2026-01-07 13:52:25.023511,2026-01-07 13:53:41.925396,0 days 00:01:16.901885,class_weights,16,0.35271712501558666,32,3,48,3,64,1,0.08288427906180912,exponential,2.9284223898152533,7.3873508033778466,0.0002201838502182051,step,True,0.450932667226539,256,2,True,False,8,8.208364979298551e-05,COMPLETE
95,-0.4871794871794872,2026-01-07 13:53:41.926182,2026-01-07 13:54:04.234235,0 days 00:00:22.308053,class_weights,64,0.2524824964168659,32,3,48,2,64,1,0.3491272566956375,exponential,2.376129239302399,6.874727383556964,0.00032183994555994787,warmup_cosine,True,0.35230627415336196,256,2,True,False,7,0.00010844512799288935,COMPLETE
96,-0.46153846153846156,2026-01-07 13:54:04.235538,2026-01-07 13:54:50.185873,0 days 00:00:45.950335,class_weights,32,0.41106420877130295,64,3,48,3,96,1,0.4549861148459546,exponential,2.8647479054301126,4.331834586252971,0.0005125617642947059,step,True,0.4215399005838153,256,2,True,False,10,3.761370470655104e-05,COMPLETE
97,-0.41880341880341876,2026-01-07 13:54:50.187064,2026-01-07 13:55:22.990927,0 days 00:00:32.803863,class_weights,64,0.3965899711423632,32,3,48,2,64,1,0.4208348329400424,exponential,3.3054013140662986,5.008983725967309,0.00040572832977103427,step,True,0.3905953277956713,256,2,True,False,9,5.957842256755112e-05,COMPLETE
98,-0.5384615384615384,2026-01-07 13:55:22.991592,2026-01-07 13:55:53.605873,0 days 00:00:30.614281,class_weights,64,0.44514117821426596,32,2,48,2,64,1,0.4306211264597428,exponential,2.115326990993614,4.986259300832871,0.0004006107277459379,warmup_cosine,True,0.40072971065445034,256,2,True,False,9,5.713912808797555e-05,COMPLETE
99,-0.5811965811965811,2026-01-07 13:55:53.606552,2026-01-07 13:56:09.449112,0 days 00:00:15.842560,class_weights,64,0.42105176127550087,32,3,96,2,96,1,0.13486618445950058,exponential,2.542007759268703,4.726981439971645,0.00026054480907923967,step,True,0.37761808896507065,256,2,True,False,8,7.269010867150818e-05,COMPLETE
