number,value,datetime_start,datetime_complete,duration,params_batch_size,params_classifier_dropout,params_classifier_hidden,params_conv1_channels,params_conv2_channels,params_discriminator_hidden,params_domain_loss_weight,params_gamma_grl,params_learning_rate,params_lstm_dropout,params_lstm_hidden,params_lstm_layers,params_warmup_epochs,params_weight_decay,state
34,0.030730897009966777,2026-01-05 15:30:04.942999,2026-01-05 15:32:11.266679,0 days 00:02:06.323680,16,0.26319315070218197,32,64,256,96,0.8653151078828037,13.253264802066807,0.004957979330578829,0.2129352498599112,64,3,10,7.703147872388374e-05,PRUNED
35,0.24584717607973422,2026-01-05 15:32:11.267679,2026-01-05 15:33:31.717945,0 days 00:01:20.450266,128,0.3328335456845355,32,128,256,96,1.0264238445120315,9.50882981474177,0.00769633846548296,0.36221871181982246,192,1,8,0.0002502605776331037,COMPLETE
36,0.18272425249169436,2026-01-05 15:33:31.718945,2026-01-05 15:37:14.816490,0 days 00:03:43.097545,32,0.3678507433093309,32,64,192,32,1.137127355250465,8.58242436630581,0.003193947531204735,0.2721537509267331,256,1,5,4.230506511720057e-05,COMPLETE
37,0.39700996677740863,2026-01-05 15:37:14.817490,2026-01-05 15:39:03.168268,0 days 00:01:48.350778,64,0.2993942979538634,64,32,64,64,0.6330560131994385,5.042656485968368,0.009942067311459107,0.26713118704650857,192,1,9,1.8162451851622738e-05,COMPLETE
38,0.2009966777408638,2026-01-05 15:39:03.169268,2026-01-05 15:49:00.059291,0 days 00:09:56.890023,16,0.2707491302313968,32,96,128,96,0.5711686206269458,12.31460348776417,0.0005418398456531612,0.19740810617829185,256,2,12,0.000465320504337523,COMPLETE
39,0.20473421926910298,2026-01-05 15:49:00.060292,2026-01-05 15:54:15.033276,0 days 00:05:14.972984,16,0.22592122337779277,96,64,192,32,1.1887283515389826,10.205120483415547,0.002306195097929869,0.13430811876510912,128,1,7,0.00064885895734644,COMPLETE
40,0.038621262458471764,2026-01-05 15:54:15.033777,2026-01-05 15:54:34.626188,0 days 00:00:19.592411,128,0.42572717029350804,128,128,64,64,0.936696646084175,7.822685374325012,0.001530846305967169,0.22600000369568113,64,3,5,0.0001936504193490838,PRUNED
41,0.01910299003322259,2026-01-05 15:54:34.627188,2026-01-05 15:55:04.494741,0 days 00:00:29.867553,64,0.3527328818320135,32,64,192,64,0.6504979540043054,11.757633037490592,0.008331290551130388,0.1814082275023215,64,1,8,0.00032477905116913623,PRUNED
42,0.046511627906976744,2026-01-05 15:55:04.496249,2026-01-05 15:55:34.309595,0 days 00:00:29.813346,64,0.33605454280476477,32,64,192,64,0.5809003082877738,10.687368298037013,0.00587473623733852,0.21012459561420196,64,1,7,0.00039780699612757133,PRUNED
43,0.24584717607973422,2026-01-05 15:55:34.310596,2026-01-05 15:57:03.959666,0 days 00:01:29.649070,64,0.3801561091776594,32,64,192,64,0.5087455506520058,14.500664139028826,0.004035886074724987,0.24749238093591316,64,1,8,0.0003066848312330557,COMPLETE
44,0.4742524916943522,2026-01-05 15:57:03.960667,2026-01-05 15:58:33.497912,0 days 00:01:29.537245,64,0.29388722520628824,32,64,192,64,0.6833662559036466,8.845378434167834,0.006295245933596789,0.298993932087764,64,1,9,0.00012865661881658388,COMPLETE
45,0.23837209302325582,2026-01-05 15:58:33.498915,2026-01-05 16:00:22.147127,0 days 00:01:48.648212,64,0.29365003442864634,64,32,192,32,0.7594687072160508,8.32929350000298,0.006184854833729399,0.28564814068410455,192,1,10,9.366177637109928e-05,COMPLETE
46,0.32059800664451826,2026-01-05 16:00:22.148129,2026-01-05 16:01:59.450817,0 days 00:01:37.302688,64,0.24540475842051626,32,64,256,64,0.8458412144258634,6.806395560352193,0.004759572782556587,0.30564819624503764,64,2,9,0.00013795823018018083,COMPLETE
47,0.2537375415282392,2026-01-05 16:01:59.451819,2026-01-05 16:04:47.214579,0 days 00:02:47.762760,32,0.2737415515451306,32,64,192,96,0.7002821865780893,5.9519265508655455,0.0036767013097288473,0.3606308670662221,128,1,11,0.00011782270501866899,COMPLETE
48,0.14493355481727574,2026-01-05 16:04:47.216084,2026-01-05 16:10:01.649653,0 days 00:05:14.433569,16,0.21799085562309603,96,96,64,64,0.7944001909994773,9.04650522846719,0.00013829205152700097,0.4496070653663524,64,1,10,0.00023665986620104433,COMPLETE
49,0.07931893687707642,2026-01-05 16:10:01.650653,2026-01-05 16:14:59.057824,0 days 00:04:57.407171,16,0.295576115285329,32,64,192,64,1.0678491505955876,14.483084076763648,0.0008460444358475195,0.2948676087785878,256,1,6,0.0007851778948276673,PRUNED
