number,value,datetime_start,datetime_complete,duration,params_balance_strategy,params_batch_size,params_classifier_dropout,params_classifier_hidden,params_classifier_layers,params_cnn_base_channels,params_cnn_layers,params_discriminator_hidden,params_discriminator_layers,params_domain_loss_weight,params_domain_weight_schedule,params_focal_gamma,params_gamma_grl,params_learning_rate,params_lr_scheduler,params_lstm_bidirectional,params_lstm_dropout,params_lstm_hidden,params_lstm_layers,params_warmup_epochs,params_weight_decay,state
0,0.5448844565395636,2026-01-07 18:36:12.200198,2026-01-07 18:39:47.804173,0 days 00:03:35.603975,focal_only,16,0.31649165607921675,96,2,32,2,96,2,0.4137788066524075,exponential,1.5687770422304368,3.896896099223678,0.0004446862319918235,cosine,True,0.4879639408647978,96,1,39,1.3783237455007196e-06,COMPLETE
1,0.4214290250632482,2026-01-07 18:39:47.804903,2026-01-07 18:44:54.718231,0 days 00:05:06.913328,weighted_sampling,16,0.5314950036607717,96,2,48,4,64,2,0.21130957784492266,linear,2.150366644053494,1.222133955202271,0.00010406973468428385,warmup_cosine,True,0.3391599915244341,96,2,36,1.0388823104027941e-06,COMPLETE
2,0.5543316830510032,2026-01-07 18:44:54.719673,2026-01-07 18:46:23.194753,0 days 00:01:28.475080,focal_only,64,0.29971689165954996,128,2,48,3,32,2,0.45324108496557197,constant,1.5139042610623814,3.4223204654921875,0.0005172742039105442,warmup_cosine,False,0.27101640734341986,128,3,31,0.00041151130495610907,COMPLETE
3,0.5406753360992862,2026-01-07 18:46:23.198241,2026-01-07 18:52:52.735524,0 days 00:06:29.537283,focal_only,16,0.22059150049999576,96,2,32,3,32,1,0.09063039652448374,constant,1.5331756578557123,2.6073240522242753,0.0008300998180449414,cosine,False,0.48497891797684456,256,3,33,5.163124910488018e-06,COMPLETE
4,0.5272068142157461,2026-01-07 18:52:52.737191,2026-01-07 18:55:21.026548,0 days 00:02:28.289357,weighted_sampling,32,0.5588863031813307,32,3,96,3,32,3,0.3485757960986251,exponential,2.9243584426950715,1.3044146285980962,0.0005340024109393224,cosine,False,0.45093574135239245,64,2,20,1.7882156647879496e-06,COMPLETE
5,0.4572242744113345,2026-01-07 18:55:21.027189,2026-01-07 18:56:17.112735,0 days 00:00:56.085546,focal_only,64,0.2780971951192178,32,3,96,1,96,3,0.18250200143131357,linear,2.892059593349946,3.5590283664020803,0.000195878355149239,warmup_cosine,False,0.48920422190097823,64,2,40,1.112678892549329e-06,COMPLETE
6,0.511008454260828,2026-01-07 18:56:17.113331,2026-01-07 18:58:55.240170,0 days 00:02:38.126839,class_weights,32,0.45998557231110604,32,3,64,3,64,3,0.21208578863506833,exponential,1.6033634423372154,3.4678016819789748,0.000278538967389569,warmup_cosine,False,0.21743673770579736,64,2,20,4.245549454254901e-05,COMPLETE
7,0.45501563550088103,2026-01-07 18:58:55.240820,2026-01-07 19:05:18.397366,0 days 00:06:23.156546,weighted_sampling,16,0.4196906658824482,32,3,96,3,96,3,0.4349572628049532,constant,2.367703298475946,1.1221864069569105,0.00012469525027497717,step,True,0.11014029736618301,96,2,20,1.1692786931726748e-05,COMPLETE
8,0.4633762918601554,2026-01-07 19:05:18.398138,2026-01-07 19:06:30.766355,0 days 00:01:12.368217,weighted_sampling,64,0.41824671572637395,96,3,48,2,64,3,0.17683464864803,linear,2.064069145142613,3.4434054477668075,7.083914213504335e-05,step,False,0.35696771128252625,96,2,20,0.00011194902621864976,COMPLETE
9,0.47381529918831883,2026-01-07 19:06:30.766945,2026-01-07 19:07:24.995987,0 days 00:00:54.229042,class_weights,64,0.3556806714936652,128,3,64,1,32,1,0.09104274637191068,exponential,1.7341340328552117,3.3688544283836617,0.0002614608287274541,cosine,True,0.400348427116599,128,2,36,7.579356154838342e-06,COMPLETE
10,0.29177257005168866,2026-01-07 19:07:24.997217,2026-01-07 19:07:49.335280,0 days 00:00:24.338063,focal_only,64,0.21842950495414554,128,2,48,4,32,2,0.49914537704470263,constant,3.3238334464358745,2.554248108379569,0.0014651327083323655,onecycle,False,0.249073534840812,128,3,27,0.000944203758762193,PRUNED
11,0.3350162231947608,2026-01-07 19:07:49.335920,2026-01-07 19:08:48.467311,0 days 00:00:59.131391,focal_only,16,0.3172628217821072,64,2,32,2,96,2,0.3791169481612858,constant,1.9360867258246781,3.8960138381963656,0.0005778124584440439,onecycle,True,0.2607699895817642,192,1,27,0.00041061940814141913,PRUNED
12,0.5321910744465961,2026-01-07 19:08:48.467885,2026-01-07 19:09:39.935550,0 days 00:00:51.467665,focal_only,64,0.29543165970165464,128,2,32,2,96,2,0.3228399359159865,exponential,1.8444821163514935,2.981797737485375,0.0012239600372327911,warmup_cosine,True,0.16834247347443115,128,1,40,0.0001248326290478999,COMPLETE
13,0.5084884323834494,2026-01-07 19:09:39.937846,2026-01-07 19:15:17.348848,0 days 00:05:37.411002,focal_only,16,0.35345215242656036,64,2,32,2,96,2,0.49161239698466347,constant,2.522837334495745,3.9306106792158455,0.000559490348213988,cosine,True,0.31570911156585274,256,1,29,3.080716593568122e-05,COMPLETE
14,0.5020147947194757,2026-01-07 19:15:17.349537,2026-01-07 19:18:05.874525,0 days 00:02:48.524988,focal_only,32,0.2606175387175468,96,2,48,4,32,1,0.42568507892782426,exponential,1.5265828061492048,1.9507199763643652,0.00045485212772070494,warmup_cosine,False,0.4144179692976758,192,3,33,0.0002531452546863083,COMPLETE
15,0.47460399385385943,2026-01-07 19:18:05.876423,2026-01-07 19:19:21.851257,0 days 00:01:15.974834,focal_only,64,0.3486721528730329,128,2,32,1,32,2,0.288552880664442,exponential,2.272562790448548,2.9903937208128393,0.0009032848066212967,cosine,True,0.2780978336612864,128,3,24,2.331600376522087e-05,COMPLETE
16,0.5363866874065732,2026-01-07 19:19:21.852101,2026-01-07 19:23:16.373663,0 days 00:03:54.521562,class_weights,16,0.48273317148398576,128,2,48,2,96,2,0.4298204771763475,constant,2.6207623446883117,1.9631482919251977,0.0003533956997679839,step,False,0.1964417280952322,96,1,36,4.425088263517354e-06,COMPLETE
17,0.28360651619807564,2026-01-07 19:23:16.374446,2026-01-07 19:24:36.992285,0 days 00:01:20.617839,focal_only,16,0.37954224879855075,96,2,64,3,96,1,0.3853514147119117,constant,1.8044153173189252,2.969660427382665,0.00018055860470521083,onecycle,True,0.3753684194846202,128,3,33,0.0008973231364398592,PRUNED
18,0.4702679504934259,2026-01-07 19:24:36.994482,2026-01-07 19:26:01.333852,0 days 00:01:24.339370,focal_only,64,0.2584200542193548,64,2,48,3,32,1,0.46348599926582257,exponential,3.3938957912233176,3.758786334068735,0.0008742732047150029,cosine,False,0.3103147256730596,96,1,38,7.447580392348034e-05,COMPLETE
19,0.44972335732451413,2026-01-07 19:26:01.334448,2026-01-07 19:26:43.750591,0 days 00:00:42.416143,focal_only,32,0.31929807574584124,96,2,32,2,64,2,0.27915663893076004,linear,2.031486010183651,3.2110272516751674,0.0003751177076460415,warmup_cosine,True,0.15848465702941983,192,3,31,2.732352293786234e-06,PRUNED
20,0.548526594569898,2026-01-07 19:26:43.751201,2026-01-07 19:28:03.060280,0 days 00:01:19.309079,class_weights,64,0.20306804555506813,128,2,48,1,96,2,0.38699434504653085,exponential,1.6936841836939827,2.17481347062753,0.0017538414501012567,cosine,False,0.43080369036323585,256,1,24,1.5250645199893927e-05,COMPLETE
21,0.44834232410179997,2026-01-07 19:28:03.062288,2026-01-07 19:28:23.380885,0 days 00:00:20.318597,class_weights,64,0.2137049210918041,128,2,48,1,96,2,0.3715615754150339,exponential,1.7166751368374442,2.028599011576902,0.001969505443643363,cosine,False,0.45147670114867,256,1,26,1.4559254546947416e-05,PRUNED
22,0.42876581441575173,2026-01-07 19:28:23.383840,2026-01-07 19:28:38.465626,0 days 00:00:15.081786,class_weights,64,0.2537677452075596,128,2,48,1,96,2,0.4086957410638311,exponential,1.5021142697353471,2.302782297830047,0.001234952721078402,cosine,False,0.4490655144184997,256,1,23,0.00023296989584187442,PRUNED
23,0.5120374872863804,2026-01-07 19:28:38.468058,2026-01-07 19:29:55.326540,0 days 00:01:16.858482,class_weights,64,0.3098425584366931,128,2,48,1,96,2,0.3375163669246185,exponential,1.7090742740112395,1.716044271741759,0.0019685129197383375,cosine,False,0.41911421389052744,256,1,30,4.9722154611956785e-05,COMPLETE
24,0.12386852340016931,2026-01-07 19:29:55.327161,2026-01-07 19:30:54.070497,0 days 00:00:58.743336,class_weights,64,0.2462005509398482,128,2,48,2,96,2,0.46255809020477184,exponential,1.896713950910678,2.802875432946602,0.0001956130054216346,cosine,False,0.4985045879263764,256,1,24,1.7196550904692903e-05,PRUNED
25,0.5541218194623359,2026-01-07 19:30:54.071077,2026-01-07 19:36:23.245911,0 days 00:05:29.174834,class_weights,16,0.20277562233210572,128,2,32,3,32,2,0.4635657650829545,constant,1.6803426327229658,2.3047550190333026,0.0006750281698255443,warmup_cosine,False,0.38214077791686524,96,1,31,3.0772287639012937e-06,COMPLETE
26,0.4782867491144307,2026-01-07 19:36:23.246634,2026-01-07 19:38:30.765332,0 days 00:02:07.518698,class_weights,64,0.20326492738022084,128,2,64,4,32,3,0.46510180718580935,constant,1.9617729998377595,2.2449821303742037,0.0009173199428774273,warmup_cosine,False,0.3868424565796592,128,2,31,2.908898521834739e-06,COMPLETE
27,0.35577575118178606,2026-01-07 19:38:30.765996,2026-01-07 19:38:50.804719,0 days 00:00:20.038723,class_weights,64,0.23166964038654891,128,2,96,3,32,1,0.4583567667783986,constant,2.158675010458616,1.5570352682180815,0.0007011775022216812,warmup_cosine,False,0.340318595779888,256,1,29,7.834380908859172e-06,PRUNED
28,0.5185347748895467,2026-01-07 19:38:50.805314,2026-01-07 19:41:45.634390,0 days 00:02:54.829076,class_weights,32,0.2811686626249126,128,2,48,3,32,2,0.3098174164065389,constant,1.6922617946087986,2.312661470112758,0.0014467818813376548,warmup_cosine,False,0.27921573333014915,96,2,32,9.839729761353457e-06,COMPLETE
29,0.5027764270297478,2026-01-07 19:41:45.635102,2026-01-07 19:49:02.636568,0 days 00:07:17.001466,class_weights,16,0.23525883753862034,128,2,32,4,32,2,0.4038826345558439,constant,2.694444101395192,1.606075415894535,0.000683435634435085,warmup_cosine,False,0.36375893783334634,128,1,28,2.209512050739569e-06,COMPLETE
30,0.46923384623842734,2026-01-07 19:49:02.641102,2026-01-07 19:54:02.420296,0 days 00:04:59.779194,class_weights,16,0.20564700545815365,128,2,32,3,32,2,0.36180010089729986,constant,1.6395541877348716,2.7572852517339754,0.00041065343364226486,step,False,0.42553307744715724,96,3,35,4.5431124706644705e-06,COMPLETE
31,0.4706216568986256,2026-01-07 19:54:02.421111,2026-01-07 19:58:24.209886,0 days 00:04:21.788775,weighted_sampling,16,0.3313148073442286,96,2,32,2,64,2,0.4013330576408027,linear,1.8249680035688285,3.6412930854337717,0.0002946150216739839,warmup_cosine,True,0.46735165833704534,96,1,38,1.0048953319596894e-06,COMPLETE
